fiscal_year,market_intermediaries,value,data_from_table,released_on,updated_on,data_source,data_url
2013-14,Stock Exchanges (Cash Market),23,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Stock Exchanges (Cash Market),20,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Stock Exchanges (Cash Market),12,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Stock Exchanges (Cash Market),6,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Stock Exchanges (Cash Market),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Stock Exchanges (Cash Market),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Stock Exchanges (Cash Market),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Stock Exchanges (Cash Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Stock Exchanges (Cash Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Stock Exchanges (Cash Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Stock Exchanges (Cash Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Stock Exchanges (Cash Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Stock Exchanges (Derivatives Market),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Stock Exchanges (Currency Derivatives),4,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Stock Exchanges (Currency Derivatives),3,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Stock Exchanges (Commodity Derivatives Market),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Stock Exchanges (Commodity Derivatives Market),,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Stock Exchanges (Commodity Derivatives Market),12,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Stock Exchanges (Commodity Derivatives Market),10,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Stock Exchanges (Commodity Derivatives Market),6,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Stock Exchanges (Commodity Derivatives Market),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Stock Exchanges (Commodity Derivatives Market),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Stock Exchanges (Commodity Derivatives Market),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Stock Exchanges (Commodity Derivatives Market),5,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Stock Exchanges (Commodity Derivatives Market),4,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Stock Exchanges (Commodity Derivatives Market),4,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Stock Exchanges (Commodity Derivatives Market),4,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Brokers(Cash Segment),9050,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Brokers(Cash Segment),6504,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Brokers(Cash Segment),4850,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Brokers(Cash Segment),4326,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Brokers(Cash Segment),4252,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Brokers(Cash Segment),3860,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Brokers(Cash Segment),2978,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Brokers(Cash Segment),2910,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Brokers(Cash Segment),2886,Table 74: SEBI Registered Market Intermediaries/ Market Infrastructure Institutions,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
